Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2015-01-1,-14,743,Пасмурно,З 2м/с,-12,744,Пасмурно,З 2м/с
2015-01-2,-7,743,Переменная облачность,Ю 2м/с,-7,740,Пасмурно,Ю 2м/с
2015-01-3,-1,733,Пасмурно,ЮЗ 2м/с,0,733,Пасмурно,ЮЗ 2м/с
2015-01-4,0,735,Переменная облачность,ЮЗ 2м/с,0,735,Переменная облачность,ЮЗ 2м/с
2015-01-5,-3,738,Пасмурно,ЮЗ 3м/с,-2,737,Пасмурно,ЮЗ 3м/с
2015-01-6,-6,741,Пасмурно,СЗ 2м/с,-12,745,Пасмурно,СЗ 2м/с
2015-01-7,-22,750,Малооблачно,С 1м/с,-27,752,Ясно,С 1м/с
2015-01-8,-22,752,Ясно,З 1м/с,-21,750,Ясно,З 1м/с
2015-01-9,-13,746,Пасмурно,З 3м/с,-12,745,Переменная облачность,З 3м/с
2015-01-10,-9,744,Пасмурно,Ю 3м/с,-5,745,Пасмурно,Ю 3м/с
2015-01-11,-10,741,Малооблачно,ЮВ 4м/с,-8,737,Малооблачно,ЮВ 4м/с
2015-01-12,-1,738,Малооблачно,ЮЗ 2м/с,-1,739,Переменная облачность,ЮЗ 2м/с
2015-01-13,-1,742,Переменная облачность,З 3м/с,-3,740,Пасмурно,З 3м/с
2015-01-14,+1,746,Переменная облачность,З 3м/с,+2,746,Переменная облачность,З 3м/с
2015-01-15,+2,751,Переменная облачность,ЮЗ 1м/с,-2,751,Переменная облачность,ЮЗ 1м/с
2015-01-16,-3,749,Переменная облачность,СЗ 1м/с,-1,752,Пасмурно,СЗ 1м/с
2015-01-17,-3,756,Ясно,З 1м/с,-8,756,Ясно,З 1м/с
2015-01-18,-8,752,Пасмурно,З 2м/с,-5,752,Пасмурно,З 2м/с
2015-01-19,-1,749,Малооблачно,З 1м/с,-1,749,Малооблачно,З 1м/с
2015-01-20,-3,754,Переменная облачность,СЗ 3м/с,-11,758,Ясно,СЗ 3м/с
2015-01-21,-13,760,Ясно,СЗ 1м/с,-16,759,Ясно,СЗ 1м/с
2015-01-22,-12,759,Ясно,С 2м/с,-17,762,Ясно,С 2м/с
2015-01-23,-15,770,Ясно,З 1м/с,-20,771,Ясно,З 1м/с
2015-01-24,-17,771,Ясно,ЮВ 1м/с,-20,771,Ясно,ЮВ 1м/с
2015-01-25,-15,772,Ясно,Ю 2м/с,-17,771,Ясно,Ю 2м/с
2015-01-26,-18,767,Ясно,В 2м/с,-21,766,Ясно,В 2м/с
2015-01-27,-17,763,Ясно,В 3м/с,-19,762,Ясно,В 3м/с
2015-01-28,-17,757,Переменная облачность,В 2м/с,-17,757,Ясно,В 2м/с
2015-01-29,-17,754,Переменная облачность,ЮВ 2м/с,-18,754,Ясно,ЮВ 2м/с
2015-01-30,-16,754,Переменная облачность,ЮВ 2м/с,-16,754,Пасмурно,ЮВ 2м/с
2015-01-31,-9,756,Переменная облачность,ЮВ 2м/с,-10,756,Пасмурно,ЮВ 2м/с
2015-02-1,-9,755,Малооблачно,В 3м/с,-12,754,Ясно,В 3м/с
2015-02-2,-5,747,Пасмурно,ЮВ 3м/с,-4,747,Пасмурно,ЮВ 3м/с
2015-02-3,-5,748,Пасмурно,ЮВ 3м/с,-6,748,Пасмурно,ЮВ 3м/с
2015-02-4,-6,748,Пасмурно,ЮВ 3м/с,-6,748,Пасмурно,ЮВ 3м/с
2015-02-5,-2,748,Переменная облачность,З 3м/с,-3,750,Переменная облачность,З 3м/с
2015-02-6,-5,751,Пасмурно,Ю 2м/с,-6,748,Пасмурно,Ю 2м/с
2015-02-7,-7,740,Ясно,С 2м/с,-11,739,Ясно,С 2м/с
2015-02-8,-10,738,Ясно,З 1м/с,-13,740,Переменная облачность,З 1м/с
2015-02-9,-5,740,Пасмурно,Ю 3м/с,-4,742,Пасмурно,Ю 3м/с
2015-02-10,-2,750,Пасмурно,Ю 2м/с,-4,751,Переменная облачность,Ю 2м/с
2015-02-11,-7,752,Ясно,З 2м/с,-10,751,Переменная облачность,З 2м/с
2015-02-12,-4,754,Переменная облачность,ЮЗ 3м/с,-7,754,Пасмурно,ЮЗ 3м/с
2015-02-13,-5,753,Переменная облачность,З 2м/с,-4,754,Переменная облачность,З 2м/с
2015-02-14,+3,757,Малооблачно,СЗ 1м/с,-6,756,Ясно,СЗ 1м/с
2015-02-15,-5,748,Пасмурно,ЮЗ 2м/с,-6,746,Переменная облачность,ЮЗ 2м/с
2015-02-16,-10,752,Переменная облачность,С 3м/с,-12,755,Ясно,С 3м/с
2015-02-17,-11,761,Ясно,С 1м/с,-15,763,Ясно,С 1м/с
2015-02-18,-9,759,Ясно,ЮЗ 1м/с,-17,756,Ясно,ЮЗ 1м/с
2015-02-19,-10,749,Ясно,З 1м/с,-12,750,Ясно,З 1м/с
2015-02-20,-9,751,Ясно,З 3м/с,-11,750,Ясно,З 3м/с
2015-02-21,-4,750,Пасмурно,З 3м/с,-4,751,Малооблачно,З 3м/с
2015-02-22,0,756,Малооблачно,Ю 2м/с,0,756,Пасмурно,Ю 2м/с
2015-02-23,+2,758,Ясно,З 3м/с,-3,759,Ясно,З 3м/с
2015-02-24,+4,762,Ясно,З 1м/с,-6,763,Ясно,З 1м/с
2015-02-25,+2,765,Ясно,ЮВ 1м/с,-6,766,Ясно,ЮВ 1м/с
2015-02-26,-2,767,Ясно,ЮВ 2м/с,-6,767,Ясно,ЮВ 2м/с
2015-02-27,-6,764,Пасмурно,Ю 1м/с,-7,764,Пасмурно,Ю 1м/с
2015-02-28,-4,761,Ясно,ЮВ 1м/с,-6,761,Ясно,ЮВ 1м/с
2015-03-1,-2,758,Ясно,В 3м/с,-5,758,Ясно,В 3м/с
2015-03-2,-2,756,Ясно,ЮВ 2м/с,-6,756,Ясно,ЮВ 2м/с
2015-03-3,-3,755,Ясно,В 2м/с,-6,755,Ясно,В 2м/с
2015-03-4,-2,752,Ясно,В 1м/с,-8,752,Ясно,В 1м/с
2015-03-5,-8,755,Ясно,ЮВ 2м/с,-11,756,Ясно,ЮВ 2м/с
2015-03-6,-6,758,Ясно,ЮВ 1м/с,-11,759,Ясно,ЮВ 1м/с
2015-03-7,-7,758,Ясно,В 1м/с,-10,758,Ясно,В 1м/с
2015-03-8,-3,758,Ясно,З 1м/с,-10,758,Ясно,З 1м/с
2015-03-9,-2,754,Пасмурно,ЮЗ 2м/с,-1,752,Переменная облачность,ЮЗ 2м/с
2015-03-10,+4,752,Пасмурно,С 2м/с,+2,756,Ясно,С 2м/с
2015-03-11,+4,759,Переменная облачность,ЮЗ 2м/с,+2,758,Переменная облачность,ЮЗ 2м/с
2015-03-12,+3,759,Ясно,ЮЗ 2м/с,+1,760,Переменная облачность,ЮЗ 2м/с
2015-03-13,+4,765,Ясно,СВ 3м/с,0,767,Ясно,СВ 3м/с
2015-03-14,+7,768,Ясно,СЗ 2м/с,+3,768,Ясно,СЗ 2м/с
2015-03-15,+6,764,Ясно,СЗ 2м/с,+1,764,Ясно,СЗ 2м/с
2015-03-16,+1,768,Ясно,СВ 3м/с,-2,770,Ясно,СВ 3м/с
